Algoritmo,N,Porcentaje_Exitos,Tiempo_Promedio,Tiempo_Desviacion,Estados_Promedio,Estados_Desviacion
Hill Climbing,4,50.0,0.00013291041056315105,0.0003507496964873151,2.0,0.5345224838248488
Hill Climbing,8,10.0,0.0008335113525390625,0.0007650406409305008,2.6666666666666665,0.5773502691896258
Hill Climbing,10,0.0,,,,
Hill Climbing,12,0.0,,,,
Hill Climbing,15,3.3333333333333335,0.01751232147216797,,8.0,
Simulated Annealing,4,100.0,0.00031599998474121096,0.00046279166546675364,132.4,113.4088119181647
Simulated Annealing,8,26.666666666666668,0.004301875829696655,0.0010732560414879425,616.875,35.99379906912538
Simulated Annealing,10,0.0,,,,
Simulated Annealing,12,3.3333333333333335,0.0045909881591796875,,659.0,
Simulated Annealing,15,0.0,,,,
